Trabajo,Empleador,Localizacion,Fecha
Oficial de Negocios,"",Quito,166
Auditor de campo / Encuestador,"",Portoviejo,199
tecnico mecanico,OXIGENOS DEL GUAYAS OXIGUAYAS S.A.,Guayaquil,51
Chofer Vendedor,OXIGENOS DEL GUAYAS OXIGUAYAS S.A.,Guayaquil,90
Ejecutivo/a comercial,Techsoft ,Quito,111
Pasante en economia y finanzas,COMPAÑIA DE TRANSPORTE DE CARGA PESADA TRANSELREY,Quito,124
Ejecutiva comercial,"MEDICPOINT RESONANCIA ESPECIALIZADA ,CIA,LTDA",Guayaquil,181
Vendedor comercial electrodomésticos,Almacén Silvanita,Rumiñahui,6
Asesor de ventas,"",Quevedo,137
Oficial de Negocios,Cooperativa Jep,Cuenca,107
Operador de Equipo Industrial,"",Huaquillas,84
Oficial de Negocios,"",Guayaquil,186
Auxiliar de Trade Marketing Guayaquil,Italimentos Cía. Ltda.,Guayaquil,173
Cajero,"",Portoviejo,170
Verificador de ATM,Cooperativa Jep,Cuenca,85
Laboratorista de calidad,Italimentos Cía. Ltda.,Cuenca,92
Operador de Equipo Industrial,"",Machala,101
Mensajero,Cooperativa Jep,Cuenca,38
Coordinador de Investigación y Desarrollo. Empaques,Italimentos Cía. Ltda.,Cuenca,131
Ing. CPA. Asistente contable con experiencia,"",Quito,130
Administrador de Tienda,"",Babahoyo,10
Lic. en laboratorio Clínico (Bioanalísta).,"",Quito,78
Oficial de Negocios,"",Guayaquil,57
Cajero Delicatessen Italdeli,Italimentos Cía. Ltda.,Cuenca,56
Almacen Ferretero,"",Guayaquil,166
Vendedora,Optiglass,Guayaquil,163
Almacen Ferretero,"",Guayaquil,40
Ingenier@ en Sistemas TICS,"",Latacunga,118
Asesores comerciales,TOPCABLE S.A.,Manta,192
Asistente Contable con experiencia en servicio al cliente /Quito/,BADENT,Quito,64
Asesor de ventas telefónico con experiencia,SCALA PERU S.A.C,Quito,93
Contador sénior,Biz Latin Hub Ecuador,Quito,73
Cajero,"",Manta,127
"Desarrollador Senior de Software .Net , PHP y Javascript",Data360,Quito,133
Cajero,"",Quevedo,115
Técnico de Mantenimiento,Italimentos Cía. Ltda.,Cuenca,31
Asistente Administrativo con disponibilidad de tiempo completo horarios rotativos,"",Quito,123
Coordinador de Talento Humano,Comlasa,Quito,134
Vendedores,TOPCABLE S.A.,Guayaquil,50
Agente promotor de ventas,Optiglass,Guayaquil,164
Técnico Electromecánico,Verzosi S.A.,Guayaquil,55
Ejecutiva de ventas,INNOFARM,Quito,156
Cajero Encargado de Tienda,FUSION LATINOAMERICA FUSLAT S.A,Loja,6
Auxiliar de almacén,"",Guayaquil,131
Asesor Comisionista Gestión de ventas,TAXI EASY CAR,Quito,51
Sto. Dgo. Colorados y Cuenca Vendedor de Cobertura,SERTECOMCELL,Santo Domingo,72
